review_stratum,policy_assigned_label,event_instance_id,event_id,line,prediction_hour_local,published_at_local,status_label,header,reviewer,is_significant_yes_no_uncertain,is_unplanned_yes_no_uncertain,policy_label_correct_yes_no_uncertain,review_notes
excluded_as_planned,0,9673:1,9673,B,2020-11-05 16:00:00,2020-11-05 16:51:00,delays,"B, D, N, Q and R trains are proceeding with extensive delays in both directions after a train, which was not in passenger service, experienced a minor one-car derailment near DeKalb Av and Atlantic Av-Barclays Ctr.
D and N trains run local between 36 St/ 59 St and Atlantic Av-Barclays Ctr.

Some northbound N trains will run along the Q line from Coney Island-Stillwell Av to DeKalb Av.

Some southbound Q trains will run along the R line from Canal St to DeKalb Av.

Consider using 2, 3, 4 or 5 train service between Manhattan and Brooklyn.",RC,YES,NO,YES,
excluded_as_planned,0,3997:1,3997,B,2020-07-26 05:00:00,2020-07-26 05:04:00,no-scheduled-service,There is no scheduled B train service.,RC,NO,NO,YES,
excluded_as_planned,0,11842:1,11842,Q,2020-12-08 06:00:00,2020-12-08 06:06:00,no-scheduled-service,There is no scheduled Q train service.,RC,NO,NO,YES,
excluded_as_planned,0,9673:1,9673,N,2020-11-05 10:00:00,2020-11-05 10:16:00,delays,N and R trains are delayed in both directions while our crews perform an investigation between Atlantic Av-Barclays Ctr and DeKalb Av.,RC,YES,NO,YES,
excluded_as_planned,0,4413:1,4413,D,2020-08-03 08:00:00,2020-08-03 08:53:00,weekday-service,D trains are running approximately every 12-15 minutes between Norwood - 205 St and Coney Island - Stillwell Av.,RC,NO,NO,YES,
excluded_as_planned,0,4180:1,4180,3,2020-07-29 08:00:00,2020-07-29 08:52:00,weekday-service,3 trains are running approximately every 15-20 minutes between Harlem - 148 St and New Lots Av.,RC,NO,NO,YES,
excluded_as_planned,0,4420:1,4420,Q,2020-08-03 08:00:00,2020-08-03 08:56:00,weekday-service,Q trains are running approximately every 10-15 minutes between 96 St and Coney Island - Stillwell Av.,RC,NO,NO,YES,
excluded_as_planned,0,4245:1,4245,7,2020-07-30 09:00:00,2020-07-30 09:02:00,weekday-service,7 trains are running approximately every 6-10 minutes between 34 St - Hudson Yds and Flushing - Main St.,RC,NO,NO,YES,
excluded_as_planned,0,4181:1,4181,4,2020-07-29 08:00:00,2020-07-29 08:53:00,weekday-service,4 trains are running approximately every 10-12 minutes between Woodlawn and Crown Hts - Utica Av.,RC,NO,NO,YES,
excluded_as_planned,0,2399:1,2399,D,2020-06-23 14:00:00,2020-06-23 14:36:00,no-scheduled-service | trains-rerouted,"There are delays and multiple impacts to B and D train service while we work to correct a signal malfunction at DeKalb Av.
There is no B train service between 145 St and Brighton Beach at this time.
Northbound D trains are running on the Q line from Coney Island - Stillwell Av to 96 St.
Consider taking A C N or Q trains for service between Manhattan and Brooklyn.",RC,NO,NO,YES,
excluded_as_planned,0,3656:1,3656,C,2020-07-20 08:00:00,2020-07-20 08:59:00,weekday-service,C trains are running approximately every 20 minutes between Euclid Av and 168 St.,RC,NO,NO,YES,
excluded_as_planned,0,5442:1,5442,7,2020-08-22 02:00:00,2020-08-22 02:30:00,weekday-service,34 St-bound 7 trains are delayed while we remove a train that was vandalized from service at Vernon Blvd-Jackson Av.,RC,NO,NO,YES,
excluded_as_planned,0,11949:1,11949,5,2020-12-10 06:00:00,2020-12-10 06:01:00,no-scheduled-service,There is no scheduled 5 train service.,RC,NO,NO,YES,
excluded_as_planned,0,11843:1,11843,FS,2020-12-08 06:00:00,2020-12-08 06:07:00,no-scheduled-service,There is no scheduled Franklin Av Shuttle train service.,RC,NO,NO,YES,
excluded_as_planned,0,4511:1,4511,M,2020-08-04 18:00:00,2020-08-04 18:49:00,part-suspended,There is no M train service between Myrtle Av and Middle Village - Metropolitan Av because of multiple downed trees along the line.,RC,YES,YES,NO,
excluded_as_planned,0,11834:1,11834,J,2020-12-08 06:00:00,2020-12-08 06:02:00,no-scheduled-service,There is no scheduled J train service.,RC,NO,NO,YES,
excluded_as_planned,0,29736:1,29736,B,2021-09-02 11:00:00,2021-09-02 11:55:00,delays,B service is extremely limited because of heavy rainfall and flooding across New York City.,RC,YES,YES,NO,
excluded_as_planned,0,11732:1,11732,M,2020-12-06 06:00:00,2020-12-06 06:12:00,no-scheduled-service,There is no scheduled M train service.,RC,NO,NO,YES,
excluded_as_planned,0,4495:1,4495,6,2020-08-04 15:00:00,2020-08-04 15:43:00,delays,Northbound 6 trains are running with delays because of a signal problem at Hunts Point Av.,RC,YES,YES,NO,
excluded_as_planned,0,11836:1,11836,N,2021-04-11 03:00:00,2021-04-11 03:57:00,delays,Northbound N and R trains have resumed regular service with delays after EMS assisted someone in need of medical at DeKalb Av.,RC,YES,YES,NO,
excluded_as_planned,0,171:1,171,2,2020-04-29 09:00:00,2020-04-29 09:31:00,delays,"2 trains are running approximately every 12 minutes between Wakefield - 241 St and Flatbush Av - Brooklyn College.

We're running as many trains as we possibly can with the crews we have available.",RC,YES,YES,NO,
excluded_as_planned,0,11836:1,11836,R,2020-12-08 06:00:00,2020-12-08 06:03:00,no-scheduled-service,There is no scheduled R train service.,RC,NO,NO,YES,
excluded_as_planned,0,4414:1,4414,E,2020-08-03 08:00:00,2020-08-03 08:54:00,weekday-service,E trains are running approximately every 15 minutes between Jamaica Center - Parsons/Archer and World Trade Center.,RC,NO,NO,YES,
excluded_as_planned,0,15087:1,15087,N,2021-02-02 00:00:00,2021-02-02 00:42:00,delays,"Expect a longer wait for northbound N trains while our crews remove snow from the tracks.

For alternate service, consider taking an R train.",RC,YES,YES,NO,
excluded_as_planned,0,11839:1,11839,2,2020-12-08 06:00:00,2020-12-08 06:05:00,no-scheduled-service,There is no scheduled 2 train service.,RC,NO,NO,YES,
excluded_as_planned,0,9673:1,9673,D,2020-11-05 10:00:00,2020-11-05 10:35:00,delays,D N Q  and R trains are delayed in both directions while our crews perform an investigation between Atlantic Av-Barclays Ctr and DeKalb Av.,RC,YES,YES,NO,
excluded_as_planned,0,4243:1,4243,5,2020-07-30 09:00:00,2020-07-30 09:00:00,weekday-service,5 trains are running approximately every 12 minutes between Eastchester - Dyre Av and Flatbush Av - Brooklyn College.,RC,NO,NO,YES,
excluded_as_planned,0,6163:1,6163,GS,2020-09-04 09:00:00,2020-09-04 09:47:00,weekday-service,42 St Shuttle trains are running approximately every 5 minutes between Times Sq-42 St and Grand Central-42 St.,RC,NO,NO,YES,
excluded_as_planned,0,4179:1,4179,2,2020-07-29 08:00:00,2020-07-29 08:52:00,weekday-service,2 trains are running approximately every 15 minutes between Wakefield - 241 St and Flatbush Av - Brooklyn College.,RC,NO,NO,YES,
excluded_as_planned,0,4417:1,4417,J,2020-08-03 08:00:00,2020-08-03 08:55:00,weekday-service,J trains are running approximately every 12-15 minutes between Jamaica Center - Parsons/Archer and Broad St.,RC,NO,NO,YES,
excluded_as_planned,0,4415:1,4415,F,2020-08-03 08:00:00,2020-08-03 08:54:00,weekday-service,F trains are running approximately every 12-15 minutes between Jamaica - 179 St and Coney Island - Stillwell Av.,RC,NO,NO,YES,
excluded_as_planned,0,11832:1,11832,F,2020-12-08 06:00:00,2020-12-08 06:01:00,no-scheduled-service,There is no scheduled F train service.,RC,NO,NO,YES,
excluded_as_planned,0,13166:1,13166,C,2020-12-26 03:00:00,2020-12-26 03:44:00,no-scheduled-service,There is no scheduled C train service.,RC,NO,NO,YES,
excluded_as_planned,0,4248:1,4248,FS,2020-07-30 09:00:00,2020-07-30 09:04:00,weekday-service,Franklin Av Shuttle trains are running approximately every 20 minutes between Franklin Av and Prospect Park.,RC,NO,NO,YES,
excluded_as_planned,0,11945:1,11945,1,2020-12-10 05:00:00,2020-12-10 05:59:00,no-scheduled-service,There is no scheduled 1 train service.,RC,NO,NO,YES,
excluded_as_planned,0,4517:1,4517,N,2020-08-04 21:00:00,2020-08-04 21:35:00,part-suspended,"N trains are running between Astoria - Ditmars Blvd and 59 St (Bklyn) in both directions. 

Trains are running via the R in Lower Manhattan and Brooklyn.",RC,YES,NO,YES,
excluded_as_planned,0,11948:1,11948,7,2020-12-10 06:00:00,2020-12-10 06:01:00,no-scheduled-service,There is no scheduled 7 train service.,RC,NO,NO,YES,
excluded_as_planned,0,9673:1,9673,Q,2020-11-05 10:00:00,2020-11-05 10:35:00,delays,D N Q  and R trains are delayed in both directions while our crews perform an investigation between Atlantic Av-Barclays Ctr and DeKalb Av.,RC,YES,YES,YES,
excluded_as_planned,0,11950:1,11950,N,2020-12-10 06:00:00,2020-12-10 06:01:00,no-scheduled-service,There is no scheduled N train service.,RC,NO,NO,YES,
excluded_as_planned,0,15158:1,15158,D,2021-02-02 19:00:00,2021-02-02 19:30:00,weekday-service,D trains run between Norwood-205 St and Coney Island-Stillwell Av.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,93948:1,93948,E,2023-02-18 16:00:00,2023-02-18 16:34:00,slow-speeds,E F R trains are running at slower speeds in Queens in both directions while we perform planned track work.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,50277:1,50277,3,2022-02-13 19:00:00,2022-02-13 19:31:00,multiple-impacts,2 3 stations in Manhattan,RC,NO,NO,YES,
excluded_nonqualifying_status,0,21186:1,21186,6,2021-05-16 05:00:00,2021-05-16 05:18:00,local-to-express,"Downtown 4 and 6 trains are running on the express track from 125 St to Grand Central-42 St while crews perform rail replacement work near 103 St. 
If your stop is skipped, take an uptown train. 
Downtown trains will arrive/depart at the lower level platforms at 86 St and 59 St.",RC,NO,NO,YES,
excluded_nonqualifying_status,0,75374:1,75374,N,2022-09-04 23:00:00,2022-09-04 23:01:00,slow-speeds,Southbound N trains are running at slower speeds between Queensboro Plz and Lexington Av-59 St while our crews address a signal problem in the area.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,87796:1,87796,4,2022-12-20 16:00:00,2022-12-20 16:25:00,some-delays,Southbound 4 trains are running with delays after we moved a train that had its brakes activated at Kingsbridge Rd.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,114608:1,114608,2,2023-08-05 10:00:00,2023-08-05 10:43:00,shuttle-buses-detoured,2 3 train shuttle buses are detoured because of Summer Streets along 110th St between Adam Clayton Powell Blvd and 5th Ave until approximately 1:00 PM.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,8870:1,8870,R,2020-10-23 22:00:00,2020-10-23 22:53:00,some-delays,You may experience delays in southbound R train service in Brooklyn after a customer was being disruptive at Whitehall St-South Ferry.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,120544:1,120544,F,2023-09-21 15:00:00,2023-09-21 15:16:00,some-reroutes,Some E F trains will run express in both directions between Queens Plaza and Forest Hills-71 Av after we moved work trains into place for planned work.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,12353:1,12353,R,2020-12-16 16:00:00,2020-12-16 16:06:00,some-reroutes | slow-speeds,"N, R and W trains are running at slower speeds while we perform signal maintenance in the tunnel between Manhattan and Queens. 

Some northbound R trains will run along the Q line from 57 St-7 Av to Lexington Av/63 St, then via the F line to 36 St (Qns).",RC,NO,NO,YES,
excluded_nonqualifying_status,0,234580:1,234580,A,2026-01-25 12:00:00,2026-01-25 12:04:00,express-to-local,A trains are running local in both directions in Brooklyn and Manhattan through at least the weekend.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,11790:1,11790,W,2020-12-07 13:00:00,2020-12-07 13:37:00,some-delays,Expect longer waits for southbound N and W service after a train experienced a door problem at 5 Av/59 St.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,15343:1,15343,B,2021-02-05 16:00:00,2021-02-05 16:17:00,some-delays,You may experience a longer wait for southbound B and D trains after we removed a train with mechanical problems from service at 34 St-Herald Sq.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,43106:1,43106,D,2021-12-22 13:00:00,2021-12-22 13:44:00,some-delays,Southbound A B C and D trains are running with delays after someone who was being disruptive left the train at 59 St-Columbus Circle.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,224331:1,224331,2,2025-11-03 00:00:00,2025-11-03 00:26:00,information-outage,"Scheduled trains that have not left the terminal may be unavailable for this line on the MTA app.
Check in-station screens to see where your next train is.",RC,NO,YES,YES,
excluded_nonqualifying_status,0,43456:1,43456,R,2021-12-26 20:00:00,2021-12-26 20:37:00,some-delays,"This Monday through Thursday, trains will run less frequently than usual.",RC,NO,NO,YES,
excluded_nonqualifying_status,0,1894:1,1894,2,2020-06-11 00:00:00,2020-06-11 00:43:00,some-delays,Expect longer wait times for downtown 2 and 5 trains after we removed one 2 train with a door problem from service at 174 St.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,251162:1,251162,F,2026-05-23 00:00:00,2026-05-23 00:45:00,reroute,"F trains are rerouted via Roosevelt Island between 21 St-Queensbridge & 47-50 Sts.
Take E for service via Court Sq-23 St between 5 Av/53 St & Queens Plaza.",RC,NO,NO,YES,
excluded_nonqualifying_status,0,160982:1,160982,H,2024-07-17 02:00:00,2024-07-17 02:39:00,information-outage,Train arrival information is unavailable for A D E F G J M N Q R Franklin Av Shuttle Rockaway Park Shuttle trains online and in stations while our teams address a technical problem.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,178740:1,178740,1,2024-11-14 20:00:00,2024-11-14 20:46:00,information-outage,Arrival information is unavailable for 1/2/3/4/5/6/42 St Shuttle trains through late morning/early afternoon while we upgrade our train dispatching system.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,34625:1,34625,A,2021-10-14 06:00:00,2021-10-14 06:50:00,local-to-express,Southbound A will arrive on the upper level (express platform) at this station.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,14662:1,14662,F,2021-01-26 11:00:00,2021-01-26 11:08:00,some-delays,You may experience a longer wait for northbound F trains after our crews replaced a broken rail in Brooklyn.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,88911:1,88911,G,2022-12-29 17:00:00,2022-12-29 17:01:00,slow-speeds,Northbound F G trains are running at slower speeds near 4 Av-9 St while we address a signal problem in the area.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,68056:1,68056,F,2022-07-09 11:00:00,2022-07-09 11:50:00,slow-speeds,E F R trains are running at slower speeds in both directions in Queens while our crews perform planned track maintenance.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,78028:1,78028,L,2022-09-27 17:00:00,2022-09-27 17:31:00,some-delays,8 Av-bound L trains are running with delays while we address a signal problem near Atlantic Av.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,22093:1,22093,Q,2021-05-27 22:00:00,2021-05-27 22:38:00,some-delays,Expect a longer wait for 96 St-bound Q trains after we removed a train with a mechanical problem from service at Church Av.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,83895:1,83895,R,2022-11-15 22:00:00,2022-11-15 22:52:00,some-delays,Southbound N R W trains are running with delays after we addressed a door problem on a train at Lexington Av/59 St.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,246133:1,246133,C,2026-04-16 16:00:00,2026-04-16 16:49:00,stops-skipped,"Downtown B/C trains are running express from 145 St to 125 St while we address a signal problem at 145 St.
For service to 135 St, take an uptown train.",RC,NO,NO,YES,
excluded_nonqualifying_status,0,45241:1,45241,A,2022-01-09 07:00:00,2022-01-09 07:41:00,some-delays,You may wait longer for an A train. We're running as much service as we can with the train crews we have available.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,2465:1,2465,D,2020-06-24 23:00:00,2020-06-24 23:47:00,some-delays,Expect longer waits for uptown B and D trains after the police responded to a disruptive passenger at W 4 St - Wash Sq.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,162409:1,162409,G,2024-07-26 14:00:00,2024-07-26 14:03:00,information-outage,"Arrival information may be unavailable for A B C D E F G J M N Q R W Franklin Av Shuttle Rockaway Park Shuttle trains on mta.info, our apps, and some countdown clocks in stations.",RC,NO,NO,YES,
excluded_nonqualifying_status,0,134274:1,134274,F,2023-12-31 16:00:00,2023-12-31 16:16:00,local-to-express,EF trains are running express in both directions in Queens.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,238773:1,238773,A,2026-02-22 18:00:00,2026-02-22 18:53:00,express-to-local,Downtown A/D trains are running local from 125 St to 59 St-Columbus Circle.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,43591:1,43591,N,2021-12-27 23:00:00,2021-12-27 23:10:00,some-delays,Downtown N R W trains are delayed while we remove an N train with a door problem from service at 49 St.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,95491:1,95491,Q,2023-03-04 17:00:00,2023-03-04 17:36:00,some-delays,Northbound N Q R trains are running with delays after a person pulled the brake cord on a train at Canal St.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,8647:1,8647,2,2020-10-20 10:00:00,2020-10-20 10:10:00,local-to-express,"Northbound 2 trains are running express from 3 Av-149 St to E 180 St because of a slow-moving work train in that area.

If your station is skipped, take a southbound 2 train.",RC,NO,YES,YES,
excluded_nonqualifying_status,0,3063:1,3063,G,2020-07-08 18:00:00,2020-07-08 18:50:00,slow-speeds,Church Av-bound G trains are moving at slower speeds between Court Sq - 23 St and 21 St because of a signal malfunction at 21 St.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,26142:1,26142,R,2021-07-16 12:00:00,2021-07-16 12:26:00,some-delays,You may experience a longer wait for southbound N Q R W trains after we removed a train car that needs cleaning from service at 57 St-7 Av.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,63561:1,63561,5,2022-06-02 19:00:00,2022-06-02 19:33:00,local-to-express,Southbound 2 5 trains are running express from E 180 St to 149 St-Grand Concourse while we investigate why a train's brakes activated at West Farms Sq.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,10539:1,10539,C,2020-11-17 12:00:00,2020-11-17 12:51:00,express-to-local | some-delays,"Northbound A trains are running on the local track from Broadway Junction to Hoyt-Schermerhorn Sts while we get medical help for someone at Nostrand Av.

Expect delays on northbound A and C trains.

At Nostrand Av, board northbound A trains on the lower-level C platform.",RC,NO,YES,YES,
excluded_nonqualifying_status,0,106829:1,106829,A,2023-06-07 10:00:00,2023-06-07 10:22:00,some-delays,You may experience a longer wait for a northbound A train in Manhattan.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,39931:1,39931,W,2021-11-24 23:00:00,2021-11-24 23:28:00,express-to-local | some-delays,"Northbound N and Q trains are running on the local track from Canal St to 34 St-Herald Sq while EMS responds to someone in need of help at 34 St-Herald Sq.
You may wait longer for an uptown R or W train while they share tracks with rerouted trains.",RC,NO,YES,YES,
excluded_nonqualifying_status,0,34027:1,34027,2,2021-10-08 12:00:00,2021-10-08 12:47:00,some-reroutes,2 Bronx/BKLYN screens only,RC,NO,NO,YES,
excluded_nonqualifying_status,0,48492:1,48492,R,2022-01-31 21:00:00,2022-01-31 21:08:00,some-delays,Downtown N R W trains are running with delays after someone pulled the emergency brake cord on an N train near 57 St-7 Av.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,56546:1,56546,1,2022-04-05 17:00:00,2022-04-05 17:30:00,some-delays,1 trains are entering/leaving South Ferry while we address a door problem on a train at that terminal.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,105690:1,105690,N,2023-05-29 12:00:00,2023-05-29 12:44:00,some-delays,You may experience a longer wait for a D N R train in both directions.,RC,NO,NO,YES,
excluded_nonqualifying_status,0,7119:1,7119,4,2020-09-22 22:00:00,2020-09-22 22:16:00,service-change,"Our 511 phone agents are unable to receive calls right now because of a technical problem. Our team is working to resolve these issues now. For travel planning and other assistance, contact us using Twitter, Facebook, or Help Point Intercoms at subway platforms.",RC,NO,YES,YES,
excluded_nonqualifying_status,0,7119:1,7119,1,2020-09-22 22:00:00,2020-09-22 22:16:00,service-change,"Our 511 phone agents are unable to receive calls right now because of a technical problem. Our team is working to resolve these issues now. For travel planning and other assistance, contact us using Twitter, Facebook, or Help Point Intercoms at subway platforms.",RC,NO,YES,YES,
excluded_nonqualifying_status,0,46459:1,46459,6,2022-01-17 23:00:00,2022-01-17 23:31:00,some-delays,6 trains are running with delays after we moved a train that had its brakes activated at Canal St.,RC,NO,YES,YES,
excluded_nonqualifying_status,0,86877:1,86877,4,2022-12-12 17:00:00,2022-12-12 17:51:00,express-to-local,"Both directions:
4 trains are running local 125 St to Grand Central-42 St.",RC,NO,YES,YES,
excluded_nonqualifying_status,0,8297:1,8297,5,2020-10-13 22:00:00,2020-10-13 22:59:00,express-to-local,Southbound 4 and 5 trains are running on the local track from 125 St to Grand Central-42 St while we perform urgent track repairs at 77 St.,RC,NO,YES,YES,
included_positive,1,110523:1,110523,4,2023-07-05 13:00:00,2023-07-05 13:24:00,express-to-local | delays | boarding-change,Northbound 2 3 4 5 trains are delayed while we address a switch malfunction near Franklin Av-Medgar Evers College.,RC,YES,YES,YES,
included_positive,1,2096:1,2096,1,2020-06-16 16:00:00,2020-06-16 16:02:00,express-to-local | delays,Northbound 2 and 3 trains are running on the local track from 72 St to 96 St while NYPD responds to a person being disruptive at 72 St.,RC,YES,YES,YES,
included_positive,1,16991:1,16991,A,2021-03-02 17:00:00,2021-03-02 17:40:00,delays,Northbound A and C trains are delayed while we get medical help for someone at Hoyt-Schermerhorn Sts.,RC,YES,YES,YES,
included_positive,1,22421:1,22421,A,2021-06-01 22:00:00,2021-06-01 22:51:00,delays,A C E train service is delayed in both directions while NYPD responds to an unauthorized person on the tracks near 50 St.,RC,YES,YES,YES,
included_positive,1,175850:1,175850,R,2024-10-25 10:00:00,2024-10-25 10:42:00,delays,Southbound Q trains are running on the local track from 57 St-7 Av to 34 St-Herald Sq.,RC,YES,YES,YES,
included_positive,1,134958:1,134958,4,2024-01-05 19:00:00,2024-01-05 19:43:00,delays,Northbound 2 4 5 trains are delayed while we request NYPD assistance for someone being disruptive on a train at 125 St.,RC,YES,YES,YES,
included_positive,1,68491:1,68491,N,2022-07-13 16:00:00,2022-07-13 16:29:00,delays,Southbound N Q trains are running with delays after NYPD activity at 14 St-Union Sq.,RC,YES,YES,YES,
included_positive,1,185764:1,185764,A,2025-01-08 12:00:00,2025-01-08 12:51:00,delays,Northbound A trains are delayed while we remove a train with a mechanical problem from service at Beach 67 St.,RC,YES,YES,YES,
included_positive,1,20938:1,20938,D,2021-05-13 02:00:00,2021-05-13 02:56:00,delays,Southbound A and D trains are delayed while we request NYPD and EMS assistance for someone at Jay St-MetroTech.,RC,YES,YES,YES,
included_positive,1,120959:1,120959,F,2023-09-24 19:00:00,2023-09-24 19:55:00,delays,F G trains are delayed in both directions while we request NYPD assistance with an unauthorized person on the tracks near 15 St-Prospect Park.,RC,YES,YES,YES,
included_positive,1,750:1,750,A,2020-05-10 15:00:00,2020-05-10 15:42:00,delays,Northbound A and D trains have resumed making express stops between 59 St - Columbus Circle and 125 St after a train’s brakes activated at 72 St.,RC,YES,YES,YES,
included_positive,1,4231:1,4231,2,2020-07-30 00:00:00,2020-07-30 00:25:00,delays,Northbound 2 and 3 trains are delayed while we get EMS to assist someone at Grand Army Plaza.,RC,YES,YES,YES,
included_positive,1,42694:1,42694,E,2021-12-19 07:00:00,2021-12-19 07:08:00,delays,E and F trains are running with delays in both directions after we investigated a loss of third rail power near Woodhaven Blvd.,RC,YES,YES,YES,
included_positive,1,127819:1,127819,N,2023-11-14 21:00:00,2023-11-14 21:24:00,delays,Southbound D N trains are running with delays after we moved a work train back to its storage facility in Brooklyn.,RC,YES,YES,YES,
included_positive,1,187490:1,187490,F,2025-01-23 10:00:00,2025-01-23 10:53:00,delays,E/F trains are running with delays in both directions while we address a network communication problem at Kew Gardens-Union Tpke.,RC,YES,YES,YES,
included_positive,1,186769:1,186769,6,2025-01-17 07:00:00,2025-01-17 07:00:00,delays,Southbound 4/6 trains are running with delays after track maintenance near Grand Central-42 St concluded.,RC,YES,YES,YES,
included_positive,1,246740:1,246740,D,2026-04-20 21:00:00,2026-04-20 21:53:00,delays,Coney Island-Stillwell Av-bound D trains are delayed while we remove debris from the tracks near 9 Av.,RC,YES,YES,YES,
included_positive,1,245069:1,245069,B,2026-04-09 12:00:00,2026-04-09 12:30:00,delays,Bedford Park Blvd-bound B and 205 St-bound D trains are running with delays after we moved a train that had its brakes activated at 161 St-Yankee Stadium.,RC,YES,YES,YES,
included_positive,1,25032:1,25032,5,2021-07-03 15:00:00,2021-07-03 15:16:00,delays,Southbound 2 5 trains are delayed while we request NYPD and EMS assistance for someone at 149 St-Grand Concourse.,RC,YES,YES,YES,
included_positive,1,236936:1,236936,3,2026-02-08 04:00:00,2026-02-08 04:35:00,delays,New Lots Av-bound 3/4 trains are running with delays after we requested NYPD assistance for people being disruptive at Crown Heights-Utica Av.,RC,YES,YES,YES,
included_positive,1,78341:1,78341,W,2022-09-29 23:00:00,2022-09-29 23:35:00,delays,Northbound R W trains are delayed while we investigate why a train's brakes were activated at Whitehall St-South Ferry.,RC,YES,YES,YES,
included_positive,1,80901:1,80901,R,2022-10-21 12:00:00,2022-10-21 12:31:00,delays,Southbound E F R and Metropolitan-bound M trains are running with delays after we removed a train with a door problem from service at 57 St.,RC,YES,YES,YES,
